timestamp,testName,stepName,url,LCP_ms,INP_ms,CLS,TTFB_ms,FCP_ms,TTI_ms,TBT_ms,documentCompleteTime_ms,pageLoadTime_ms,requestCount,totalPageSizeMB,dnsLookupTime_ms,FPS
2026-05-26T15:32:01.996Z,Step 6: Perforce Software Popup Tab,Perforce Software Popup Tab,https://www.perforce.com/,464,N/A,0.0561,3.4,464,738.2,N/A,3097.9,3123.9,0,0,0,60
2026-05-26T15:32:07.951Z,Step 1: Main Landing Page,Main Landing Page,https://www.perforce.com/,324,32,0.2881,41.4,324,763.3,N/A,2489.2,2498.4,0,0,0,60
2026-05-26T15:32:10.700Z,Step 2: Browse Products,Browse Products,https://www.perforce.com/products,228,N/A,0.1216,50.3,228,400.9,N/A,950,950.2,0,0,0,60
2026-05-26T15:32:12.341Z,Step 3: Digital IP Management,Digital IP Management,https://www.perforce.com/products#p-20457,228,176,0.1216,50.3,228,400.9,N/A,950,950.2,0,0,0,60
2026-05-26T15:32:14.401Z,Step 4: Explore IPLM,Explore IPLM,https://www.perforce.com/products/helix-iplm,128,N/A,0.0903,34.4,128,334.6,N/A,845.6,847.3,0,0,0,60
2026-05-26T15:32:16.920Z,Step 5: What’s New,What’s New,https://www.perforce.com/products/helix-iplm/whats-new,200,N/A,0.0077,33,200,255.4,N/A,1198.2,1199.9,0,0,0,60
2026-05-26T15:32:23.999Z,Step 6: Perforce Software Popup Tab,Perforce Software Popup Tab,https://www.perforce.com/,124,N/A,0.0492,0.1,124,201.6,N/A,2639.6,2666.4,0,0,0,60
2026-05-26T15:32:30.050Z,Step 1: Main Landing Page,Main Landing Page,https://www.perforce.com/,380,48,0.2881,65.9,380,856.1,N/A,2622.7,2649.4,0,0,0,60
2026-05-26T15:32:32.581Z,Step 2: Browse Products,Browse Products,https://www.perforce.com/products,220,N/A,0.1216,45.6,220,386.7,N/A,968.4,970.9,0,0,0,60
2026-05-26T15:32:34.141Z,Step 3: Digital IP Management,Digital IP Management,https://www.perforce.com/products#p-20457,220,144,0.1216,45.6,220,386.7,N/A,968.4,970.9,0,0,0,60
2026-05-26T15:32:36.192Z,Step 4: Explore IPLM,Explore IPLM,https://www.perforce.com/products/helix-iplm,244,N/A,0.0903,43,244,351.1,N/A,860,861.6,0,0,0,60
2026-05-26T15:32:38.719Z,Step 5: What’s New,What’s New,https://www.perforce.com/products/helix-iplm/whats-new,228,N/A,0.0074,44.7,228,271.2,N/A,1205.6,1206.8,0,0,0,60
2026-05-26T15:32:45.918Z,Step 6: Perforce Software Popup Tab,Perforce Software Popup Tab,https://www.perforce.com/,484,N/A,0.0492,1.5,484,718.5,N/A,3102.7,3126.5,0,0,0,60
2026-05-26T15:32:51.909Z,Step 1: Main Landing Page,Main Landing Page,https://www.perforce.com/,308,40,0.2881,39,308,770.7,N/A,2611.2,2633.2,0,0,0,60
2026-05-26T15:32:54.718Z,Step 2: Browse Products,Browse Products,https://www.perforce.com/products,200,N/A,0.1216,34.8,200,383.9,N/A,950.5,950.8,0,0,0,60
2026-05-26T15:32:56.348Z,Step 3: Digital IP Management,Digital IP Management,https://www.perforce.com/products#p-20457,200,168,0.1216,34.8,200,383.9,N/A,950.5,950.8,0,0,0,60
2026-05-26T15:32:58.350Z,Step 4: Explore IPLM,Explore IPLM,https://www.perforce.com/products/helix-iplm,268,N/A,0.0903,36.6,268,324.6,N/A,801.3,802.1,0,0,0,60
2026-05-26T15:33:01.102Z,Step 5: What’s New,What’s New,https://www.perforce.com/products/helix-iplm/whats-new,216,N/A,0.0077,36.3,216,295,N/A,1413.7,1415,0,0,0,60
2026-05-26T15:33:08.198Z,Step 6: Perforce Software Popup Tab,Perforce Software Popup Tab,https://www.perforce.com/,368,N/A,0.0492,2.9,368,624.5,N/A,3033.8,3057.6,0,0,0,60
2026-05-26T15:33:14.118Z,Step 1: Main Landing Page,Main Landing Page,https://www.perforce.com/,312,64,0.2881,30.2,312,788.7,N/A,2638,2658.6,0,0,0,60
2026-05-26T15:33:16.627Z,Step 2: Browse Products,Browse Products,https://www.perforce.com/products,184,N/A,0.1216,35.3,184,366.1,N/A,948.9,949.2,0,0,0,60
2026-05-26T15:33:18.234Z,Step 3: Digital IP Management,Digital IP Management,https://www.perforce.com/products#p-20457,184,136,0.1216,35.3,184,366.1,N/A,948.9,949.2,0,0,0,60
2026-05-26T15:33:20.314Z,Step 4: Explore IPLM,Explore IPLM,https://www.perforce.com/products/helix-iplm,268,N/A,0.0903,33.2,268,332.1,N/A,879.8,881.3,0,0,0,60
2026-05-26T15:33:22.820Z,Step 5: What’s New,What’s New,https://www.perforce.com/products/helix-iplm/whats-new,212,N/A,0.0074,30,212,250,N/A,1183.3,1185.6,0,0,0,60
2026-05-26T15:33:29.864Z,Step 6: Perforce Software Popup Tab,Perforce Software Popup Tab,https://www.perforce.com/,508,N/A,0.0492,11.3,508,615,N/A,3017.3,3032.4,0,0,0,60
2026-05-26T15:33:35.852Z,Step 1: Main Landing Page,Main Landing Page,https://www.perforce.com/,280,32,0.2881,29.9,280,763.4,N/A,2603.8,2615,0,0,0,60
2026-05-26T15:33:38.455Z,Step 2: Browse Products,Browse Products,https://www.perforce.com/products,228,N/A,0.1216,60.3,228,398.4,N/A,927.4,927.7,0,0,0,60
2026-05-26T15:33:40.013Z,Step 3: Digital IP Management,Digital IP Management,https://www.perforce.com/products#p-20457,228,128,0.1216,60.3,228,398.4,N/A,927.4,927.7,0,0,0,60
2026-05-26T15:33:42.631Z,Step 4: Explore IPLM,Explore IPLM,https://www.perforce.com/products/helix-iplm,276,N/A,0.0903,29.9,276,344.8,N/A,1332.9,1340.8,0,0,0,60
2026-05-26T15:33:45.205Z,Step 5: What’s New,What’s New,https://www.perforce.com/products/helix-iplm/whats-new,196,N/A,0.0077,29.7,196,253.4,N/A,1319.8,1321.1,0,0,0,60
2026-05-26T15:33:52.269Z,Step 6: Perforce Software Popup Tab,Perforce Software Popup Tab,https://www.perforce.com/,168,N/A,0.0561,N/A,168,302.4,N/A,2737,2756,0,0,0,60
2026-05-26T15:33:57.807Z,Step 1: Main Landing Page,Main Landing Page,https://www.perforce.com/,284,40,0.2881,43.7,284,764.8,N/A,2599.9,2634.4,0,0,0,60
2026-05-26T15:34:00.276Z,Step 2: Browse Products,Browse Products,https://www.perforce.com/products,228,N/A,0.1216,40.2,228,388.4,N/A,499.1,499.2,0,0,0,60
2026-05-26T15:34:01.858Z,Step 3: Digital IP Management,Digital IP Management,https://www.perforce.com/products#p-20457,228,144,0.1216,40.2,228,388.4,N/A,499.1,499.2,0,0,0,60
2026-05-26T15:34:03.936Z,Step 4: Explore IPLM,Explore IPLM,https://www.perforce.com/products/helix-iplm,248,N/A,0.0903,37.9,248,344.7,N/A,870.3,872,0,0,0,60
2026-05-26T15:34:06.450Z,Step 5: What’s New,What’s New,https://www.perforce.com/products/helix-iplm/whats-new,216,N/A,0.0074,48.2,216,270.9,N/A,1220.6,1222.2,0,0,0,60
2026-05-26T15:34:13.560Z,Step 6: Perforce Software Popup Tab,Perforce Software Popup Tab,https://www.perforce.com/,464,N/A,0.0492,5.5,464,571.4,N/A,3017.4,3036.6,0,0,0,60
