timestamp,testName,stepName,url,LCP_ms,INP_ms,CLS,TTFB_ms,FCP_ms,TTI_ms,TBT_ms,documentCompleteTime_ms,pageLoadTime_ms,requestCount,totalPageSizeMB,dnsLookupTime_ms,FPS
2026-05-26T15:34:03.418Z,Step 2: Browse Products,Browse Products,https://www.perforce.com/products,312,N/A,0.1216,29.6,312,616.1,N/A,3520.5,3523.6,0,0,0,60
2026-05-26T15:34:05.404Z,Step 3: Digital IP Management,Digital IP Management,https://www.perforce.com/products#p-20457,312,64,0.1216,29.6,312,616.1,N/A,3520.5,3523.6,0,0,0,60
2026-05-26T15:34:09.543Z,Step 4: Explore IPLM,Explore IPLM,https://www.perforce.com/products/helix-iplm,436,N/A,0.0903,31.1,436,535.7,N/A,2839.4,2848.5,0,0,0,60
2026-05-26T15:34:14.364Z,Step 5: What’s New,What’s New,https://www.perforce.com/products/helix-iplm/whats-new,188,N/A,0.0077,28.2,188,359.9,N/A,2955.6,2958,0,0,0,60
2026-05-26T15:34:24.025Z,Step 6: Perforce Software Popup Tab,Perforce Software Popup Tab,https://www.perforce.com/,308,N/A,0.0561,0.1,308,534.6,N/A,4676.7,4718.3,0,0,0,60
2026-05-26T15:34:35.250Z,Step 1: Main Landing Page,Main Landing Page,https://www.perforce.com/,392,72,0.2881,24.2,392,1153.5,N/A,3924.9,3970.8,0,0,0,60
2026-05-26T15:34:42.369Z,Step 2: Browse Products,Browse Products,https://www.perforce.com/products,344,N/A,0.1216,23.8,344,640.9,N/A,3913.1,3915.9,0,0,0,60
2026-05-26T15:34:44.188Z,Step 3: Digital IP Management,Digital IP Management,https://www.perforce.com/products#p-20457,344,64,0.1216,23.8,344,640.9,N/A,3913.1,3915.9,0,0,0,60
2026-05-26T15:34:46.267Z,Step 4: Explore IPLM,Explore IPLM,https://www.perforce.com/products/helix-iplm,440,N/A,0.0903,22.6,440,474.6,N/A,689.9,691,0,0,0,60
2026-05-26T15:34:51.171Z,Step 5: What’s New,What’s New,https://www.perforce.com/products/helix-iplm/whats-new,284,N/A,0.0077,27.5,284,390.5,N/A,2986.5,2989,0,0,0,60
